stcode,lethint,region,vcrimrt,recode_crimrt,poptotal,popdens,ttlwht,perwht,mingrth,perbpl,polpcap,gini
AK,6,4,681.2,Med-High,595689.7,1.07,452964.2,76.05159089,5.013010703,9.25,215,0.402
AL,18,3,665.3,Med-High,4229919.5,83.23,3101338.4,73.32569699,3.066507696,17.44,240,0.475
AR,42,3,540.9,Med-Low,2459201.6,47.24,2035676.4,82.7809347,2.02107742,16.86,230,0.458
AZ,160,4,651.1,Med-High,4218676.6,36.9,3752888.1,88.97687146,6.298493416,15.29,225,0.45
CA,669,4,930.4,High,31502450.9,202.08,25245550.6,80.15650839,10.27264307,16.07,217,0.475
CO,65,4,466.8,Med-Low,3681338.8,35.54,3409447.9,92.62976204,10.90068477,9.69,240,0.438
CT,17,1,442.2,Med-Low,3274879.5,676.69,2904483.1,88.68912335,17.57124852,8.79,245,0.477
DE,6,3,680.4,Med-High,712559,363.84,566525.8,79.54707426,18.64802669,9.14,226,0.429
FL,119,3,1090.7,High,14080316.6,260.41,11748650.7,83.47718276,15.82527596,15,247,0.47
GA,78,3,662.8,Med-High,7125889.5,123.1,5001797.2,70.2387221,8.869615907,14.35,259,0.461
HI,12,4,264.1,Low,1165966.7,181.97,391750,33.60566396,1.44643546,10.27,241,0.434
IA,18,2,305.1,Med-Low,2830203.3,50.66,2735998.1,96.67355044,22.2577191,10.29,182,0.418
ID,13,4,278.8,Low,1139991.7,13.79,1106392.8,97.05894048,10.24550323,13.95,212,0.427
IL,84,2,918.8,High,11819671,211.9,9643979.6,81.59979093,6.793585103,12.45,321,0.456
IN,48,2,488.4,Med-Low,5760301.4,160.68,5230811,90.81394049,9.731911238,11.04,196,0.424
KS,34,2,445.8,Med-Low,2571292.3,31.27,2356192.3,91.63762859,6.071653551,11.47,244,0.435
KY,33,3,401.9,Med-Low,3831838.1,96.46,3527017.6,92.04722337,3.881204084,16.56,177,0.468
LA,25,3,918.3,High,4307515.1,99.09,2873929.9,66.72572843,5.514327816,21.29,415,0.483
MA,17,1,690.9,Med-High,6063580.6,774.06,5495462.6,90.6377791,30.35676189,10.67,285,0.463
MD,89,3,912.6,High,4995947.9,511.88,3475846.4,69.60446198,14.67577089,9.41,287,0.434
ME,12,1,127.7,Low,1240311,40.18,1220875.9,98.43343365,17.13073797,11.89,186,0.434
MI,72,2,703,Med-High,9615803.9,168.4,8055036.8,83.77384299,5.565486718,12.68,218,0.44
MN,8,2,326.3,Med-Low,4581676.5,57.58,4301729.6,93.90608028,36.49358904,10.66,175,0.426
MO,35,2,659.4,Med-High,5300230,76.9,4641539.5,87.57806059,6.743892603,12.75,244,0.449
MS,31,3,428.9,Med-Low,2673036.6,57.04,3220300.9,119.2431721,3.132480872,21.59,231,0.478
MT,12,4,163.4,Low,851109.2,5.86,790831.3,92.92239503,8.466348209,15.02,195,0.436
NC,47,3,625.9,Med-High,7136369.3,146.49,5389634.8,75.53209013,2.547237209,13.59,235,0.452
ND,3,2,80,Low,638080.6,9.25,601492.6,94.26617555,21.92838792,12.74,201,0.429
NE,12,2,387.9,Med-Low,1627321.6,21.18,1532706.2,94.1920784,20.00035294,10.33,204,0.424
NH,4,1,118.2,Low,1145346.5,127.73,1123637.4,98.10953995,29.42581477,7.7,206,0.414
NJ,66,1,562.7,Med-High,7943116.3,1068.97,6410309.8,80.71784402,16.97798233,9.03,345,0.46
NM,61,4,867.8,High,1650095,13.61,1436962.7,87.10228245,12.45327225,21.57,245,0.46
NV,54,4,762.1,Med-High,1502181.3,13.68,1304664.3,86.95598298,22.68856144,11.16,263,0.436
NY,174,1,899.2,High,18120565.8,384.05,14015691.6,77.3490564,10.97057152,15.86,384,0.499
OH,96,2,461,Med-Low,11103439.4,270.98,9726571.8,87.6040168,10.36988746,12.16,221,0.441
OK,97,3,590.9,Med-High,3255966,47.5,2706903.1,83.13746683,0.907187253,16.23,221,0.455
OR,76,4,477.1,Med-Low,3105082.9,32.33,2916019.5,93.9258294,17.4516924,11.92,190,0.438
PA,79,1,429.7,Med-Low,11997927.7,267.95,10660538.3,88.85391351,9.067317631,11.56,215,0.452
RI,6,1,371.5,Med-Low,994602.4,952.77,921953.5,92.69322295,19.52731874,10.68,256,0.457
SC,35,3,966.7,High,3691437,122.25,2546680.5,68.99100736,0.492864303,16.23,243,0.454
SD,8,2,187.9,Low,719983.3,9.52,656325.5,91.16483341,16.36411515,13.48,226,0.434
TN,39,3,740.2,Med-High,5194958.4,125.92,4291605.1,82.6226819,5.808327623,15.42,255,0.465
TX,205,3,691.2,Med-High,18516808.3,70.81,15714445.1,84.88692877,8.484607289,16.93,247,0.47
UT,22,4,305.3,Med-Low,1942441.2,23.5,1853903.5,95.45750712,17.23700605,8.95,187,0.41
VA,76,3,351.8,Med-Low,6554415.8,165.63,5043615.4,76.97372309,11.01355288,10.06,286,0.449
VT,3,1,114.3,Low,579684.9,62.72,571191.9,98.5372651,30.8970651,10.1,170,0.423
WA,49,4,474.8,Med-Low,5362511.9,80.56,4806441.2,89.66135115,20.27371375,10.58,168,0.436
WI,51,2,265.3,Low,5099403.5,93.73,4712296.5,92.41631112,15.05821733,9.42,247,0.413
WV,21,3,223.5,Low,1810457.1,75.3,1742527.7,96.24806764,0.482503916,18.24,174,0.468
WY,8,4,272.9,Low,471685.6,4.86,453774.1,96.20422611,10.15037665,11.39,299,0.428
