stcode,lethint,vcrimrt,recode_crimrt
HI,12,264.1,1
ID,13,278.8,1
ME,12,127.7,1
MT,12,163.4,1
ND,3,80,1
NH,4,118.2,1
SD,8,187.9,1
VT,3,114.3,1
WI,51,265.3,1
WV,21,223.5,1
WY,8,272.9,1
AR,42,540.9,2
CO,65,466.8,2
CT,17,442.2,2
IA,18,305.1,2
IN,48,488.4,2
KS,34,445.8,2
KY,33,401.9,2
MN,8,326.3,2
MS,31,428.9,2
NE,12,387.9,2
OH,96,461,2
OR,76,477.1,2
PA,79,429.7,2
RI,6,371.5,2
UT,22,305.3,2
VA,76,351.8,2
WA,49,474.8,2
AK,6,681.2,3
AL,18,665.3,3
AZ,160,651.1,3
DE,6,680.4,3
GA,78,662.8,3
MA,17,690.9,3
MI,72,703,3
MO,35,659.4,3
NC,47,625.9,3
NJ,66,562.7,3
NV,54,762.1,3
OK,97,590.9,3
TN,39,740.2,3
TX,205,691.2,3
CA,669,930.4,4
FL,119,1090.7,4
IL,84,918.8,4
LA,25,918.3,4
MD,89,912.6,4
NM,61,867.8,4
NY,174,899.2,4
SC,35,966.7,4
